material,critical_temp_K,year_discovered,note
mercury (Hg),4.2,1911,first superconductor ever found
lead (Pb),7.2,1913,
niobium (Nb),9.2,1930,used in MRI magnets (as alloys)
FeSe bulk crystal,8,2008,iron-based superconductor; grown as thin films at the 2DCC
MgB2,39,2001,
YBa2Cu3O7 (YBCO),93,1987,first superconductor above liquid-nitrogen temperature (77 K)
single-layer FeSe on SrTiO3,65,2012,one atom-layer-thin film; reported onset temperatures vary by lab (about 40-65 K)
HgBa2Ca2Cu3O8,133,1993,record at normal pressure
